path,base_path,status,owners,split_rule,evidence,hunk_count,base_to_source_hunks
.cursor/Dockerfile,.cursor/Dockerfile,M,C01,Ledger USB HID 빌드에 필요한 libudev-dev 설치 두 줄만 C01에 포함한다.,hidraw backend와 libudev 사용을 설명하는 주석 및 libudev-dev 패키지가 추가됐다.,1,"-28,0 +29,2"
android/app/build.gradle.kts,android/app/build.gradle.kts,M,C05,minSdk 24→30 변경과 DMK 0.0.4/FlowRedux 의존성을 함께 C05에 둔다. 앱 전체 Android 하한 상승을 PR 제약에 명시한다.,Ledger Mobile DMK AAR가 minSdk 30을 요구하며 io.github.ledgerhq:device-management-kit 및 flowredux가 추가됐다.,2,"-124 +124,2 | -172,0 +174,3"
android/app/src/main/AndroidManifest.xml,android/app/src/main/AndroidManifest.xml,M,C05,"BLE scan/connect, 구버전 Bluetooth/location 권한과 optional BLE feature 전체를 C05에 포함한다.","BLUETOOTH_SCAN, BLUETOOTH_CONNECT, API 30 이하 권한 및 bluetooth_le feature가 Ledger Android transport용으로 추가됐다.",2,"-1 +1,2 | -4,0 +6,7"
android/app/src/main/kotlin/com/keplr/vizor/LedgerMobileHandler.kt,android/app/src/main/kotlin/com/keplr/vizor/LedgerMobileHandler.kt,A,C05,파일 전체를 C05 Android adapter로 둔다. C03에서 Dart channel/typed failure 계약을 먼저 정의하고 이 구현은 그 계약을 구현해야 한다.,DMK 검색·권한·connect/disconnect·current/open app·UFVK/signing APDU exchange·generation drain을 LedgerMobileHandler가 구현한다.,1,"-0,0 +1,590"
android/app/src/main/kotlin/com/keplr/vizor/MainActivity.kt,android/app/src/main/kotlin/com/keplr/vizor/MainActivity.kt,M,C05,"LedgerMobileHandler 생성, Method/EventChannel 등록, 권한 callback 전달, onDestroy close hunks만 C05에 포함한다.",ledgerMobileHandler 필드와 com.zcash.wallet/ledger_mobile 채널 수명주기 연결이 추가됐다.,4,"-12,0 +13 | -17,0 +19 | -122,0 +125,11 | -250,0 +264,19"
android/app/src/test/kotlin/com/keplr/vizor/LedgerMobileHandlerTest.kt,android/app/src/test/kotlin/com/keplr/vizor/LedgerMobileHandlerTest.kt,A,C05,파일 전체를 C05에 포함한다.,"취소된 UFVK drain, 정상 multi-command, signing 취소 후 slot 유지, close 단일 완료를 검증한다.",1,"-0,0 +1,171"
assets/icons/bluetooth.svg,assets/icons/bluetooth.svg,A,UI,연결 선택·설정 UI 자산,Bluetooth 선택/상태 표시에 쓰이는 아이콘,1,"-0,0 +1"
assets/icons/ledger.svg,assets/icons/ledger.svg,A,UI,Ledger 계정·서명 UI 자산,Ledger signer 배지와 화면 식별용 아이콘,1,"-0,0 +1,3"
assets/icons/ledger_brand.svg,assets/icons/ledger_brand.svg,A,UI,Ledger 브랜드 UI 자산,온보딩과 서명 안내의 브랜드 표시,1,"-0,0 +1,3"
assets/icons/usb.svg,assets/icons/usb.svg,A,UI,transport 선택 UI 자산,USB 선택/상태 표시에 쓰이는 아이콘,1,"-0,0 +1"
assets/illustrations/onboarding_ledger_sidebar.png,assets/illustrations/onboarding_ledger_sidebar.png,A,UI,데스크톱 Ledger 온보딩 삽화,ledger_setup_desktop_test가 2x 픽셀·투명도를 검증,0,BINARY
docs/ledger-support-review.md,docs/ledger-support-review.md,A,C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;C13;C14;C15;UI,과거 검증 기록; 각 기능 PR에는 해당 절만 이동하고 umbrella에는 증거 경계만 유지,"USB/BLE, signing, recovery, Wallet Link와 OS별 실기기 검증·미검증 항목을 날짜별 기록",1,"-0,0 +1,328"
docs/ledger-support.md,docs/ledger-support.md,A,C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;C13;C14;C15;UI,현재 지원 계약; 기능 PR별 관련 절을 단계적으로 추가하고 UI 문구·동작 설명은 UI 귀속,"플랫폼/기기, 계정, 거래, 취소, 복구, 검증 상태를 모두 기술",1,"-0,0 +1,615"
integration_test/ledger_speculos_desktop_test.dart,integration_test/ledger_speculos_desktop_test.dart,A,C01;C02;C08;C09;C10;C11;C12;C13;C14;UI,"시나리오별 소유 PR로 분할; Flutter 화면 구동 assertion은 UI, UFVK·PCZT·checkpoint 결과는 core",desktop Speculos import/send/TEX/shield/pay/swap/voting/sequential 시나리오; Speculos는 USB protocol·crypto fixture이지 물리 USB 증거가 아님,1,"-0,0 +1,1934"
integration_test/ledger_speculos_mobile_test.dart,integration_test/ledger_speculos_mobile_test.dart,A,C02;C03;C05;C08;C09;C10;C11;C12;C13;C14;UI,시나리오별 소유 PR로 분할; HTTP Speculos bridge 결과와 모바일 화면 assertion을 구분,mobile import/send/recovered migration/TEX/shield/pay/swap/voting 시나리오; 실제 Android BLE·기기 증거가 아님,1,"-0,0 +1,2103"
ios/Podfile.lock,ios/Podfile.lock,M,EXCLUDE,Ledger SwiftPM 의존성은 이 lockfile에 없으므로 checksum-only 변경을 이관하지 않는다. 각 기능 브랜치에서 pod install이 실제로 재현할 때만 별도 갱신한다.,변경은 기존 Flutter plugin 7개의 SPEC CHECKSUM뿐이며 Ledger/BleTransport pod 항목은 없다.,1,"-57,7 +57,7"
ios/Runner.xcodeproj/project.pbxproj,ios/Runner.xcodeproj/project.pbxproj,M,C04,"LedgerMobileHandler 및 native test source 등록, BleTransport 1.0.1 Swift package/product 연결만 C04에 포함한다.","LedgerMobileHandler.swift, LedgerMobileHandlerTests.swift와 hw-transport-ios-ble package reference가 추가됐다.",10,"-26,0 +27,3 | -106,0 +110,2 | -174,0 +180 | -204,0 +211 | -284,0 +292 | -355,0 +364,3 | -392,0 +404,3 | -540,0 +555 | -550,0 +566 | -604,0 +621,19"
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/swiftpm/Package.resolved,ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/swiftpm/Package.resolved,A,C04,Xcode project workspace가 고정한 hw-transport-ios-ble 1.0.1 lock을 C04에서 project 설정과 함께 반영한다.,LedgerHQ/hw-transport-ios-ble 1.0.1 pin이 새로 생성됐다.,1,"-0,0 +1,15"
ios/Runner.xcworkspace/xcshareddata/swiftpm/Package.resolved,ios/Runner.xcworkspace/xcshareddata/swiftpm/Package.resolved,A,C04,Runner workspace용 동일 Swift package pin을 C04에 포함하고 두 Package.resolved가 일치하는지 검증한다.,LedgerHQ/hw-transport-ios-ble 1.0.1 pin이 새로 생성됐다.,1,"-0,0 +1,15"
ios/Runner/AppDelegate.swift,ios/Runner/AppDelegate.swift,M,C04,LedgerMobileHandler 보관·close 및 Method/EventChannel 등록 hunk만 C04에 포함한다.,implicit engine 생성 시 Apple BLE handler를 생성하고 ledger_mobile 및 discovery 채널을 연결한다.,2,"-8,0 +9 | -54,0 +56,16"
ios/Runner/Info.plist,ios/Runner/Info.plist,M,C04,NSBluetoothAlwaysUsageDescription 항목만 C04에 포함한다.,Ledger Bluetooth 연결 목적의 권한 설명이 추가됐다.,1,"-19,0 +20,2"
ios/Runner/LedgerMobileHandler.swift,ios/Runner/LedgerMobileHandler.swift,A,C04,"파일 전체를 Apple BLE adapter C04에 둔다. C03 channel 계약을 구현하되 app switching, exchange generation/drain, pairing-invalid 분류를 분리하지 않는다. macOS도 같은 소스를 참조한다.","BleTransport 검색·연결·APDU, LedgerMobileAppSwitchCoordinator, protocol codec, ledgerPairingInformationIsInvalid가 한 구현에 있다.",1,"-0,0 +1,1089"
ios/RunnerTests/LedgerMobileHandlerTests.swift,ios/RunnerTests/LedgerMobileHandlerTests.swift,A,C04,파일 전체를 C04에 포함한다.,"invalid pairing 구분, 취소 후 callback drain, app switch/reconnect/time budget, APDU parsing을 검증한다.",1,"-0,0 +1,543"
lib/app.dart,lib/app.dart,M,C02;C10;C11;UI,"All GoRoute/page registration, redirects based on route payload shape, onboarding transitions and hardware details navigation are UI. The inline onFinish import/password transaction is C02 behavior and should move behind a C02 controller/service rather than bringing routes into core. LedgerOperationRecoveryHost startup mounting is C10; send-review payload restoration/result dispatch is C11 lifecycle wiring.",appDesktopOnboardingRoutes registers Ledger pages and currently embeds ledgerAccountImporter/password prepare-commit-rollback; ZcashWalletApp mounts LedgerOperationRecoveryHost; send routes restore/dispatch Ledger payloads.,10,"-37,0 +38 | -41,0 +43,3 | -60,0 +65,2 | -84,0 +91 | -546,0 +554,167 | -895 +1069,11 | -1120,0 +1305,3 | -1126,0 +1314,6 | -1283,28 +1476,30 | -1902,0 +2098"
lib/figma_compare/figma_compare_scenarios.dart,lib/figma_compare/figma_compare_scenarios.dart,M,UI,Keep only deterministic Ledger visual scenarios in the UI collection; no runtime contract ownership.,"Adds Ledger account, onboarding, signing, shield and transfer capture scenarios.",6,"-4,0 +5 | -5,0 +7,3 | -10,0 +15 | -245,0 +251,63 | -291,0 +360,12 | -1871,0 +1952,53"
lib/src/app_bootstrap.dart,lib/src/app_bootstrap.dart,M,C02;C10,"Hardware signer backfill, Rust-authoritative signer/index/birthday merge and stored Ledger connection metadata are C02. Recovery host invocation is elsewhere; orphan verifier cleanup is needed by interrupted first-account import and should travel with C02 with generic-account regression tests. Do not duplicate in C10.","legacyHardwareAccountsForBackfill, hardwareSignerKind consistency check, birthdayHeight/zip32AccountIndex merge, ledgerConnectionPreference/device fields, shouldClearOrphanedPasswordVerifier.",8,"-216,0 +217,10 | -261 +271 | -298,0 +309,10 | -304,0 +325,8 | -312,0 +341,3 | -330,0 +362,16 | -402,0 +450,13 | -452,2 +512,11"
lib/src/core/layout/app_main_sidebar.dart,lib/src/core/layout/app_main_sidebar.dart,M,UI,Ledger icon/label and hardware account navigation presentation only.,Sidebar differentiates signer kind and links hardware account details.,13,"-496 +496 | -518 +518 | -628 +628 | -638 +638 | -651 +651 | -951 +951 | -962 +962 | -979 +979 | -1048 +1048 | -1052 +1052 | -1067 +1067 | -1087,2 +1087,5 | -1426 +1429"
lib/src/core/layout/mobile/mobile_top_nav_account.dart,lib/src/core/layout/mobile/mobile_top_nav_account.dart,M,UI,Signer-specific mobile account avatar rendering only.,Ledger account display branch.,1,-71 +71
lib/src/core/navigation/mobile_onboarding_routes.dart,lib/src/core/navigation/mobile_onboarding_routes.dart,M,UI,"The file only registers routes, checks navigation payload shape and builds Cupertino pages; keep it entirely in UI. C02 owns Ledger setup argument data contracts and import validation in their defining services/screens, not route registration.","Adds /onboarding/ledger, birthday, set-passcode and customise page registration using already-defined Ledger setup args.",3,"-11,0 +12,2 | -16,0 +19 | -202,0 +206,38"
lib/src/core/navigation/mobile_routes.dart,lib/src/core/navigation/mobile_routes.dart,M,UI,"Keep all Ledger GoRoute registration, typed payload pattern dispatch and Cupertino page construction in UI. C11/C12/C13 own the payload models and executable controllers in their own files, so core PRs must compile without copying these routes.","Registers Ledger send-sign, shield, swap-sign, status and hardware account pages but implements no signing/checkpoint/order transition itself.",10,"-6,0 +7 | -9,0 +11 | -29,0 +32 | -31,0 +35 | -35 +39,5 | -105,0 +114,9 | -235,0 +253,4 | -258,0 +280,10 | -337,0 +369,10 | -408,0 +450,7"
lib/src/core/widgets/app_icon.dart,lib/src/core/widgets/app_icon.dart,M,UI,Ledger glyph registration only.,Adds AppIcons.ledger asset mapping.,3,"-19,0 +20 | -30,0 +32 | -70,0 +73,2"
